dgp,seed,epsilon_used,ate_lower,ate_upper,ate_width,true_ate,coverage_ate,cate_lower_z0,cate_upper_z0,cate_lower_z1,cate_upper_z1,coverage_cate_z0,coverage_cate_z1,lp_status
Easy,68,0.05,0.17467406117717044,0.28325261866088547,0.10857855748371503,0.22817587269323591,True,0.14781228551818792,0.2691028665488392,0.20153583683615295,0.2974023707729318,True,True,optimal
Easy,69,0.05,0.1686097166830911,0.2782242781288474,0.10961456144575632,0.22817587269323591,True,0.1777777777777777,0.29438676184295914,0.1594416555884045,0.2620617944147357,True,True,optimal
Easy,70,0.05,0.16454491102282387,0.28032617194096354,0.11578126091813967,0.22817587269323591,True,0.15674640191897649,0.2851868685825259,0.17234342012667125,0.2754654752994012,True,True,optimal
Easy,71,0.05,0.1927534518670207,0.27320430666451223,0.08045085479749153,0.22817587269323591,True,0.1936416574953722,0.2680923901167826,0.19186524623866918,0.27831622321224186,True,True,optimal
Easy,72,0.05,0.18159637343415574,0.28689594284681147,0.10529956941265572,0.22817587269323591,True,0.17962962962962958,0.2725861254590057,0.1835631172386819,0.30120576023461726,True,True,optimal
Easy,73,0.05,0.18645845781635337,0.2629553687833428,0.07649691096698943,0.22817587269323591,True,0.16318057862896906,0.24630447085455587,0.20973633700373767,0.2796062667121297,True,True,optimal
Easy,74,0.05,0.17379259690959142,0.289758131147704,0.11596553423811257,0.22817587269323591,True,0.15324078799632534,0.275666293216354,0.1943444058228575,0.303849969079054,True,True,optimal
Easy,75,0.05,0.1637014815980919,0.2961988382663153,0.13249735666822343,0.22817587269323591,True,0.1938263208604175,0.2997366446693513,0.13357664233576627,0.29266103186327935,True,True,optimal
Easy,76,0.05,0.18229891985853963,0.26803468141888687,0.08573576156034723,0.22817587269323591,True,0.19218755823921874,0.24458991316866885,0.17241028147786053,0.29147944966910494,True,True,optimal
Easy,77,0.05,0.1803075102500134,0.2682029872797153,0.08789547702970191,0.22817587269323591,True,0.17643262223232659,0.28726925248664387,0.18418239826770022,0.24913672207278675,True,True,optimal
