alpha_u,beta_u,seed,ate_lower,ate_upper,ate_width,true_ate,naive_ate,naive_bias,coverage,cate_width_z0,cate_width_z1,feasible,lp_status
0.25,0.25,66,0.07966239328097474,0.35984030950979884,0.2801779162288241,0.22310786079089057,0.21453420189114725,-0.00857365889974332,True,0.2968465426292497,0.2635092898283985,True,optimal
0.25,0.25,71,0.08318634735750868,0.3709412053558883,0.28775485799837963,0.22310786079089057,0.22678857190545654,0.003680711114565971,True,0.28190644000106335,0.2936032759956959,True,optimal
0.25,0.25,70,0.059573007294874025,0.382052859936633,0.322479852641759,0.22310786079089057,0.2189264128532582,-0.0041814479376323654,True,0.32250143843082035,0.32245826685269763,True,optimal
0.25,0.25,72,0.08060242637066134,0.3842582870978425,0.30365586072718115,0.22310786079089057,0.22044288959503744,-0.0026649711958531275,True,0.2895212120288684,0.3177905094254939,True,optimal
0.25,0.25,73,0.08330310764936566,0.358836597361427,0.2755334897120613,0.22310786079089057,0.21950877192982454,-0.0035990888610660243,True,0.2751897302024434,0.2758772492216792,True,optimal
0.25,0.25,74,0.0767421269086414,0.3798981780037207,0.3031560510950793,0.22310786079089057,0.22789645856929874,0.004788597778408177,True,0.31777194463544167,0.28854015755471696,True,optimal
0.25,0.25,76,0.07275022744585558,0.3591531130955747,0.2864028856497191,0.22310786079089057,0.2153848862875496,-0.007722974503340974,True,0.26336877010749027,0.30943700119194795,True,optimal
0.25,0.25,78,0.08681358850312754,0.38170120102356636,0.2948876125204388,0.22310786079089057,0.23380316952361202,0.010695308732721454,True,0.2843208637881911,0.30545436125268655,True,optimal
0.25,0.25,79,0.05465800038305707,0.36679874244114863,0.31214074205809156,0.22310786079089057,0.20228145276448628,-0.020826408026404286,True,0.2986124915658326,0.32566899255035053,True,optimal
0.25,0.25,80,0.062347322204093336,0.37179502197329317,0.30944769976919984,0.22310786079089057,0.22330416652532914,0.00019630573443857324,True,0.2994554953349925,0.3194399042034072,True,optimal
0.25,0.25,81,0.06736902313113419,0.3557555361534632,0.28838651302232904,0.22310786079089057,0.2169933311402853,-0.0061145296506052715,True,0.25240406268650006,0.324368963358158,True,optimal
0.25,0.25,75,0.05323360818805789,0.38777638858841146,0.33454278040035357,0.22310786079089057,0.23281976299522655,0.009711902204335987,True,0.3137673123824939,0.35531824841821325,True,optimal
0.25,0.25,77,0.07450470662745867,0.3700327518479894,0.2955280452205307,0.22310786079089057,0.21693465642258303,-0.006173204368307539,True,0.30755104355968566,0.2835050468813758,True,optimal
0.25,0.25,82,0.08236096009936228,0.37562317003525936,0.2932622099358971,0.22310786079089057,0.21199670704024698,-0.011111153750643588,True,0.28334565850324034,0.3031787613685538,True,optimal
0.25,0.25,83,0.07152176436157115,0.3664404830414072,0.29491871867983604,0.22310786079089057,0.21941957916380206,-0.0036882816270885077,True,0.27784917776732,0.3119882595923521,True,optimal
0.25,0.25,87,0.05287589893675371,0.3634275379464507,0.310551639009697,0.22310786079089057,0.2172343306689306,-0.005873530121959958,True,0.3272918025109689,0.2938114755084251,True,optimal
0.25,0.25,86,0.07437063887130518,0.39434427643755676,0.3199736375662516,0.22310786079089057,0.23010832341463483,0.0070004626237442635,True,0.30195861856904715,0.337988656563456,True,optimal
0.25,0.25,84,0.0833378860314154,0.3640829879881358,0.2807451019567204,0.22310786079089057,0.23139335032300123,0.008285489532110668,True,0.2554297546815433,0.30606044923189757,True,optimal
0.25,0.25,85,0.07359895039406211,0.3483545634729886,0.2747556130789265,0.22310786079089057,0.21615217212181137,-0.006955688669079196,True,0.2893870961071551,0.2601241300506979,True,optimal
0.25,0.25,88,0.08123435769594184,0.3818629159517805,0.3006285582558387,0.22310786079089057,0.2106741573033708,-0.012433703487519765,True,0.30154086808104663,0.2997162484306307,True,optimal
0.25,0.25,90,0.07593978032545018,0.36847421019685805,0.2925344298714079,0.22310786079089057,0.20348323069722496,-0.019624630093665607,True,0.31718981466562024,0.2678790450771955,True,optimal
0.25,0.25,89,0.09776007694590177,0.37406027683039744,0.27630019988449567,0.22310786079089057,0.236133615413462,0.01302575462257144,True,0.2659164680010482,0.28668393176794316,True,optimal
0.25,0.5,42,0.07488136353140229,0.36636953632641833,0.29148817279501604,0.2131249618505535,0.21619494836044706,0.0030699865098935686,True,0.30423389113356625,0.27874245445646584,True,optimal
0.25,0.5,43,0.03044861460854381,0.3631764607793024,0.33272784617075857,0.2131249618505535,0.21773072112499836,0.0046057592744448705,True,0.32583035234656044,0.3396253399949567,True,optimal
0.25,0.25,91,0.07556151879246648,0.3719271782938366,0.2963656595013701,0.22310786079089057,0.23813129349367068,0.015023432702780115,True,0.3136581591917009,0.2790731598110393,True,optimal
0.25,0.5,44,0.051137153401040025,0.3427532293159944,0.29161607591495436,0.2131249618505535,0.23666209000762783,0.023537128157074344,True,0.2879271018430729,0.2953050499868358,True,optimal
0.25,0.5,45,0.05404241308335822,0.3523539272637629,0.2983115141804047,0.2131249618505535,0.22428097778865186,0.011156015938098368,True,0.277736221202322,0.3188868071584874,True,optimal
0.25,0.5,47,0.056148532336776136,0.3720344823140203,0.3158859499772442,0.2131249618505535,0.2202178245602231,0.007092862709669606,True,0.3622860962854537,0.26948580366903463,True,optimal
0.25,0.5,49,0.05537324100106211,0.3514310468557015,0.29605780585463937,0.2131249618505535,0.23399317743228853,0.020868215581735045,True,0.2906641441033164,0.3014514676059623,True,optimal
0.25,0.5,50,0.06160920982985452,0.3574426943623184,0.2958334845324639,0.2131249618505535,0.20607230760474926,-0.00705265424580423,True,0.29833350911799306,0.2933334599469347,True,optimal
0.25,0.5,51,0.05154943684848978,0.3692006178628293,0.31765118101433953,0.2131249618505535,0.2460074214686515,0.03288245961809802,True,0.3212787557696444,0.3140236062590347,True,optimal
0.25,0.5,52,0.06821744626471599,0.3738140210657164,0.3055965748010004,0.2131249618505535,0.23488276119296658,0.021757799342413092,True,0.30524365326822567,0.3059494963337751,True,optimal
0.25,0.5,46,0.06658002272884744,0.34843233261735784,0.2818523098885104,0.2131249618505535,0.2045890553681694,-0.008535906482384087,True,0.29370991899786225,0.26999470077915855,True,optimal
0.25,0.5,53,0.08576665313370563,0.38146472017562255,0.2956980670419169,0.2131249618505535,0.21465785110800994,0.0015328892574564545,True,0.30835596163478207,0.2830401724490518,True,optimal
0.25,0.5,48,0.03819920350554723,0.3637495507520826,0.32555034724653537,0.2131249618505535,0.21405636401424966,0.0009314021636961656,True,0.3181493403125506,0.33295135418052013,True,optimal
0.25,0.5,55,0.05059632605157549,0.38243089058780916,0.33183456453623367,0.2131249618505535,0.20186324592910376,-0.011261715921449728,True,0.3169547057469255,0.3467144233255418,True,optimal
0.25,0.5,54,0.07694572571957287,0.33919977955920577,0.2622540538396329,0.2131249618505535,0.19399924614164066,-0.019125715708912833,True,0.24768438474369436,0.27682372293557145,True,optimal
0.25,0.5,56,0.028133979845164525,0.36071068946198553,0.332576709616821,0.2131249618505535,0.22336877198383964,0.010243810133286152,True,0.3472607957038435,0.3178926235297985,True,optimal
0.25,0.5,57,0.058526184855830776,0.34167012423299237,0.2831439393771616,0.2131249618505535,0.21408829582052913,0.0009633339699756382,True,0.2840120665748599,0.2822758121794633,True,optimal
0.25,0.5,58,0.03540760036161622,0.3753504559705444,0.3399428556089282,0.2131249618505535,0.21084027575653275,-0.0022846860940207436,True,0.3366644033469308,0.34322130787092553,True,optimal
0.25,0.5,60,0.06946537602480274,0.3494124842741711,0.27994710824936836,0.2131249618505535,0.2170812761399461,0.0039563142893926095,True,0.30749663395291027,0.25239758254582645,True,optimal
0.25,0.5,62,0.05932792082598831,0.3761598980000835,0.31683197717409517,0.2131249618505535,0.22585276286467992,0.012727801014126433,True,0.31267534397477137,0.32098861037341897,True,optimal
0.25,0.5,59,0.06504013951605803,0.35557895432960807,0.29053881481355004,0.2131249618505535,0.22482317469572555,0.011698212845172057,True,0.2716200541494028,0.30945757547769726,True,optimal
0.25,0.5,61,0.057616855182060556,0.36605555602813217,0.3084387008460716,0.2131249618505535,0.20203410410929878,-0.011090857741254706,True,0.3071178406418581,0.3097595610502851,True,optimal
0.25,0.5,64,0.0529687986880249,0.34909229363820693,0.29612349495018203,0.2131249618505535,0.21512223494308835,0.0019972730925348625,True,0.273354970278182,0.31889201962218205,True,optimal
0.25,0.5,63,0.07809274624337514,0.3604165137255965,0.2823237674822214,0.2131249618505535,0.22026808159207079,0.007143119741517295,True,0.2974860411350302,0.26716149382941257,True,optimal
0.25,0.5,65,0.07916596765779571,0.3806622772119611,0.3014963095541654,0.2131249618505535,0.22160461342169646,0.008479651571142971,True,0.30743947898116886,0.29555314012716194,True,optimal
0.25,0.5,66,0.06985177604627313,0.34767952017952014,0.277827744133247,0.2131249618505535,0.20303766600937623,-0.010087295841177263,True,0.30503544951651684,0.2506200387499772,True,optimal
0.25,0.5,67,0.023865082439991525,0.34869737002663365,0.3248322875866421,0.2131249618505535,0.23000079308243204,0.016875831231878552,True,0.31123641053556284,0.3384281646377214,True,optimal
0.25,0.5,68,0.05625462356268596,0.3770981620888488,0.3208435385261628,0.2131249618505535,0.22324957781573784,0.010124615965184353,True,0.34022987509144254,0.3014572019608831,True,optimal
0.25,0.5,71,0.07716088883537114,0.35460900114758587,0.2774481123122147,0.2131249618505535,0.2222682610710811,0.009143299220527618,True,0.261644146974647,0.29325207764978245,True,optimal
0.25,0.5,72,0.05188853929270004,0.3690237392743656,0.31713519998166556,0.2131249618505535,0.21402404617918303,0.0008990843286295347,True,0.31329856941697143,0.3209718305463597,True,optimal
0.25,0.5,69,0.060014552081312234,0.35336862772886307,0.29335407564755084,0.2131249618505535,0.2146141577720525,0.0014891959214990147,True,0.31014971551436754,0.27655843578073414,True,optimal
0.25,0.5,70,0.05443428602701883,0.3656832216994134,0.3112489356723946,0.2131249618505535,0.21074075767774714,-0.0023842041728063534,True,0.30936444291056087,0.3131334284342283,True,optimal
0.25,0.5,73,0.05606840319294554,0.3674888342885001,0.31142043109555456,0.2131249618505535,0.2112768878718535,-0.0018480739786999878,True,0.3117767202329593,0.3110641419581498,True,optimal
0.25,0.5,74,0.0710052503297891,0.37215902813060053,0.30115377780081143,0.2131249618505535,0.22265735081002247,0.00953238895946898,True,0.3122404042915068,0.29006715131011607,True,optimal
0.25,0.5,76,0.06643842704077557,0.3510386956655416,0.284600268624766,0.2131249618505535,0.2072026184411776,-0.005922343409375891,True,0.2681008881647977,0.3010996490847343,True,optimal
0.25,0.5,75,0.043001703611964315,0.3727635646467176,0.3297618610347533,0.2131249618505535,0.22626162489968926,0.013136663049135772,True,0.3251175359152091,0.3344061861542975,True,optimal
0.25,0.5,77,0.07073087927884497,0.36468800773040644,0.29395712845156147,0.2131249618505535,0.21176520953117017,-0.0013597523193833172,True,0.3038078824061905,0.28410637449693243,True,optimal
0.25,0.5,78,0.07669829753347018,0.3583646456611621,0.2816663481276919,0.2131249618505535,0.221418274146035,0.008293312295481498,True,0.28430709869831783,0.279025597557066,True,optimal
0.25,0.5,83,0.05862468496373818,0.3607375329936305,0.3021128480298923,0.2131249618505535,0.21210489580796843,-0.0010200660425850605,True,0.29068031670172834,0.31354537935805626,True,optimal
0.25,0.5,81,0.06672841465697754,0.3459271823250744,0.27919876766809687,0.2131249618505535,0.21183049732348458,-0.0012944645270689115,True,0.24958635259962691,0.3088111827365668,True,optimal
0.25,0.5,82,0.0719109585187504,0.36493416564985226,0.29302320713110186,0.2131249618505535,0.20356436677921652,-0.00956059507133697,True,0.29086386226966754,0.2951825519925362,True,optimal
0.25,0.5,84,0.07829603016122078,0.3566628508727929,0.27836682071157215,0.2131249618505535,0.2225103222110275,0.009385360360474021,True,0.26757186123872,0.2891617801844243,True,optimal
0.25,0.5,79,0.0407077067291422,0.3578680290643621,0.3171603223352199,0.2131249618505535,0.19698139263972747,-0.01614356921082602,True,0.30665985805053875,0.32766078661990106,True,optimal
0.25,0.5,80,0.05571018589637339,0.36612173630502093,0.31041155040864754,0.2131249618505535,0.21517850733364308,0.002053545483089586,True,0.31144413852345576,0.3093789622938393,True,optimal
0.25,0.5,85,0.0652403147535296,0.3380364206351933,0.2727961058816637,0.2131249618505535,0.21402052161943397,0.0008955597688804773,True,0.27243720681076844,0.27315500495255896,True,optimal
0.25,0.5,86,0.06043457694826193,0.38071744058249757,0.32028286363423564,0.2131249618505535,0.22479742908910205,0.011672467238548562,True,0.29832463019109456,0.3422410970773767,True,optimal
