study,pattern,beta,epsilon_frac,epsilon_scaled,outcome_std,outcome_mean,n_obs,n_treated,n_control,ate_lower,ate_upper,width,width_ratio,coverage,true_ate,naive_ate,naive_bias,n_valid_sites,n_treated_sites,n_control_sites,theta_1_min,theta_1_max,theta_1_range,theta_0_min,theta_0_max,theta_0_range,point_estimate
anchoring1,demo_basic,0.5,0.15,230.28188007882898,1535.2125338588598,2628.3799551234106,2674,1353,1321,2705.7867300384205,547.2001237940215,-2158.5866062443993,-1.4060506663651624,False,1555.6658181083942,1575.7281612118304,20.062343103436206,36,36,36,2444.6363636363635,4123.058823529412,1678.4224598930482,956.7083333333334,2358.0,1401.2916666666665,1713.5532927879196
anchoring1,demo_basic,0.5,0.2,307.04250677177197,1535.2125338588598,2628.3799551234106,2674,1353,1321,2552.2654766525343,700.7213771799074,-1851.5440994726268,-1.206050666365162,False,1555.6658181083942,1575.7281612118304,20.062343103436206,36,36,36,2444.6363636363635,4123.058823529412,1678.4224598930482,956.7083333333334,2358.0,1401.2916666666665,1713.5532927879196
anchoring1,demo_basic,1.0,0.05,76.95145960415401,1539.02919208308,2622.6753197893154,2658,1334,1324,3080.5650295096407,816.1646075199965,-2264.400421989644,-1.4713173951721945,False,1555.6658181083942,1639.7013479665002,84.03552985810597,34,34,34,3070.2045454545455,4190.884615384615,1120.6800699300697,956.4166666666666,2407.942857142857,1451.5261904761905,1809.4384012638072
anchoring1,demo_basic,1.0,0.1,153.90291920830802,1539.02919208308,2622.6753197893154,2658,1334,1324,2926.6621103013326,970.0675267283045,-1956.594583573028,-1.2713173951721943,False,1555.6658181083942,1639.7013479665002,84.03552985810597,34,34,34,3070.2045454545455,4190.884615384615,1120.6800699300697,956.4166666666666,2407.942857142857,1451.5261904761905,1809.4384012638072
anchoring1,demo_basic,1.0,0.15,230.854378812462,1539.02919208308,2622.6753197893154,2658,1334,1324,2772.7591910930246,1123.9704459366124,-1648.7887451564122,-1.0713173951721944,False,1555.6658181083942,1639.7013479665002,84.03552985810597,34,34,34,3070.2045454545455,4190.884615384615,1120.6800699300697,956.4166666666666,2407.942857142857,1451.5261904761905,1809.4384012638072
anchoring1,demo_basic,1.0,0.2,307.80583841661604,1539.02919208308,2622.6753197893154,2658,1334,1324,2618.8562718847165,1277.8733651449206,-1340.982906739796,-0.8713173951721943,False,1555.6658181083942,1639.7013479665002,84.03552985810597,34,34,34,3070.2045454545455,4190.884615384615,1120.6800699300697,956.4166666666666,2407.942857142857,1451.5261904761905,1809.4384012638072
gainloss,age,0.25,0.05,0.024971377424893446,0.4994275484978689,1.5255498059508408,3092,1516,1576,0.6662226586840475,-0.22505724515021303,-0.8912799038342605,-1.7846030050103727,False,0.2867651053248066,0.30964634424011894,0.022881238915312352,36,36,36,1.35,1.894736842105263,0.544736842105263,1.1785714285714286,1.625,0.4464285714285714,0.3175980921159369
gainloss,age,0.25,0.1,0.04994275484978689,0.4994275484978689,1.5255498059508408,3092,1516,1576,0.6162799038342607,-0.17511449030042614,-0.7913943941346868,-1.584603005010373,False,0.2867651053248066,0.30964634424011894,0.022881238915312352,36,36,36,1.35,1.894736842105263,0.544736842105263,1.1785714285714286,1.625,0.4464285714285714,0.3175980921159369
gainloss,age,0.25,0.15,0.07491413227468033,0.4994275484978689,1.5255498059508408,3092,1516,1576,0.5663371489844737,-0.12517173545063925,-0.6915088844351129,-1.3846030050103726,False,0.2867651053248066,0.30964634424011894,0.022881238915312352,36,36,36,1.35,1.894736842105263,0.544736842105263,1.1785714285714286,1.625,0.4464285714285714,0.3175980921159369
gainloss,age,0.25,0.2,0.09988550969957379,0.4994275484978689,1.5255498059508408,3092,1516,1576,0.5163943941346869,-0.07522898060085234,-0.5916233747355393,-1.1846030050103729,False,0.2867651053248066,0.30964634424011894,0.022881238915312352,36,36,36,1.35,1.894736842105263,0.544736842105263,1.1785714285714286,1.625,0.4464285714285714,0.3175980921159369
