method,beta,n_datasets,mean_ate,mean_bias,median_bias,mean_abs_bias,rmse,bias_std,coverage,mean_se,mean_ci_width
outcome_regression,0.75,75.0,570.1882078278866,3.397618708005572,0.003562023533701386,7.8057328297846365,17.191354405804937,16.9657500796318,0.013333333333333334,12.425162681793513,48.7066377126306
outcome_regression,1.0,75.0,572.5476913148473,5.7571021949660866,0.0011583159584980518,9.639199639594738,21.024524939091073,20.357109702435803,0.013333333333333334,13.297027393496661,52.124347382506905
outcome_regression,1.5,75.0,579.9046934891068,13.114104369225672,0.008402709854738094,14.333864981803993,31.33045845264024,28.645395368008675,0.013333333333333334,14.376516788033362,56.35594580909077
outcome_regression,2.0,75.0,585.1829894077308,18.392400287849707,0.014916336110218836,19.54427147292378,41.56432589431231,37.52448928339782,0.013333333333333334,15.284879713390877,59.91672847649226
psm,0.1,70.0,613.5717890844323,6.314713978583943,0.020722391828641704,31.019835635926125,68.79713451319213,69.00135551300815,0.014285714285714285,12.439048110588006,48.76106859350499
psm,0.25,70.0,619.0061053717817,11.749030265933154,0.03917662520012548,23.3283842602423,55.12031115962138,54.242428084420936,0.014285714285714285,12.335509574713607,48.35519753287732
psm,0.5,70.0,602.9083405054984,-4.348734600350073,0.014992348478347184,28.216827002265962,66.97302918808937,67.31423824020831,0.014285714285714285,12.37270605180431,48.501007723072874
psm,0.75,70.0,620.845351700798,13.588276594949866,0.02326491903545204,31.441627318423272,66.78042455425448,65.85544875257322,0.014285714285714285,12.240995326558648,47.984701680109914
psm,1.0,70.0,612.2763194532251,5.019244347376773,-0.004129206693392229,32.39660524607716,79.48325856626795,79.89736990234584,0.014285714285714285,12.498073822854039,48.99244938558781
psm,1.5,70.0,620.6290146483896,13.371939542541014,0.022445495930814505,40.34567235552781,93.26906398903317,92.97199727378327,0.014285714285714285,12.278635963787982,48.13225297804889
psm,2.0,70.0,629.7943331559078,22.53725805005938,0.03196329454530587,47.142591729541806,111.77967512820112,110.27460742800123,0.014285714285714285,12.071134965634212,47.318849065286116
