method,study,n_datasets,mean_ate,mean_bias,median_bias,mean_abs_bias,rmse,bias_std,coverage,mean_se,mean_ci_width
ipw,sunk,35.0,0.6292604835901918,0.023001117150343094,0.019438123316706246,0.06546487581432761,0.08103176081907087,0.07883309257625468,0.02857142857142857,0.10665810251409884,0.4180997618552674
naive,allowedforbidden,35.0,-0.15384785756543415,0.011260248740278651,0.008487663380346427,0.017629971073803985,0.021021565063596644,0.018010580926918558,0.02857142857142857,0.012737277091972886,0.049930126200533706
naive,anchoring1,35.0,1581.385122345361,25.719304236966725,6.542045782076912,43.99878616695461,62.06168449223427,57.30618293951391,0.02857142857142857,51.054747615812474,200.13461065398488
naive,anchoring2,35.0,2020.8987305981668,-8.049535913018163,1.4252411180452782,55.968366500690706,86.48545686524037,87.36718874064917,0.02857142857142857,44.225541655231645,173.3641232885081
naive,anchoring3,35.0,2406.844586251848,-11.528663410873351,-9.865752652981882,15.116506776678397,19.410254112022006,15.843606952315834,0.02857142857142857,41.0784036646743,161.02734236552322
naive,anchoring4,35.0,2502.64403198725,7.714965254228953,7.837430891569056,21.403048727610116,25.766316967031887,24.943102336061376,0.02857142857142857,38.967155193610495,152.75124835895315
naive,contact,35.0,0.3640247660382822,0.11794248077675731,0.02452530340969003,0.14442794198978579,0.23756952437017037,0.20923598799239765,0.02857142857142857,0.06863393786921962,0.2690450364473408
naive,flag,35.0,-0.1671922112335579,-0.19565693230585035,-0.09862889704130398,0.1970772459104171,0.29290431249236343,0.2211530970314907,0.02857142857142857,0.03573103873833526,0.14006567185427418
naive,gainloss,35.0,0.30027476010636917,0.013509654781562545,0.015037067157089412,0.019085137273168337,0.02170249725144896,0.017232891355610527,0.02857142857142857,0.016957404792019053,0.06647302678471469
naive,gambfal,35.0,1.6545047960767412,-0.04136892298808701,-0.038078100849677776,0.06426686856848769,0.08185615871512136,0.0716643529739672,0.02857142857142857,0.10470688296598518,0.41045098122666185
naive,iat,35.0,0.28312647945665564,0.023341163118265007,0.022150818982020593,0.02846826154493179,0.03456907089970431,0.025871501951918688,0.02857142857142857,0.017661547996011485,0.069233268144365
naive,money,35.0,-0.10305587052957024,-0.08344768783094264,-0.05480338230488349,0.08344865891020972,0.11183310521363803,0.07553912866245045,0.02857142857142857,0.035172424594282485,0.13787590440958733
naive,quote,35.0,0.686764454073393,-0.008508102861085222,0.003913248663031332,0.0595340537275012,0.07365189524978603,0.0742268948177444,0.02857142857142857,0.07628281608407392,0.2990286390495697
naive,reciprocity,35.0,0.16522489843774432,0.031253246855311875,0.028932188873237452,0.045433448058598204,0.05304294641910523,0.04348346724491127,0.02857142857142857,0.016145468297717933,0.06329023572705429
naive,scales,35.0,0.20391808414265106,0.02924073426162216,0.025401785631714635,0.02928856868942333,0.03357264150888525,0.01673632903067826,0.02857142857142857,0.013323964612732818,0.05222994128191264
naive,sunk,35.0,0.40169230307764486,-0.2045670633622039,-0.15894164620577378,0.20707721163725276,0.24763196473657412,0.1415862581747065,0.02857142857142857,0.07956722802789401,0.3119035338693445
outcome_regression,allowedforbidden,35.0,-0.16647895316362882,-0.001370846857915998,-0.0018803015317215843,0.009372570073135697,0.011467940863580125,0.011551935958193513,0.02857142857142857,0.014044435487674577,0.05505418711168434
outcome_regression,anchoring1,35.0,1565.2051947552295,9.539376646835152,-2.1842554299821586,40.85511868070606,49.816970186314315,49.60893491946554,0.02857142857142857,57.89176172698248,226.93570596977125
outcome_regression,anchoring2,35.0,2068.832551095327,39.884284584141504,35.88016164731471,45.072550215720334,53.875336989723436,36.747489815777016,0.02857142857142857,47.98428721627145,188.09840588778405
outcome_regression,anchoring3,35.0,2427.5245162661195,9.151266603398705,4.265874273251939,23.441538411366803,30.994070241297134,30.044591780463342,0.02857142857142857,44.974398233382885,176.2996410748609
outcome_regression,anchoring4,35.0,2521.7678861108525,26.83881937783139,27.638505885707673,39.940947108093305,49.36270305387224,42.033739232560976,0.02857142857142857,42.6551430124557,167.2081606088264
outcome_regression,contact,35.0,0.2086332588855336,-0.03744902637599128,-0.03627979273509657,0.04759935256274971,0.05792932854127153,0.044842277027262276,0.02857142857142857,0.07186653464312952,0.28171681580106767
outcome_regression,flag,35.0,0.017421429572051866,-0.011043291500240634,-0.014801129109404752,0.024103959182394996,0.027981129761406157,0.026085056993921028,0.02857142857142857,0.030354881355665383,0.11899113491420825
outcome_regression,gainloss,35.0,0.2995702808641731,0.012805175539366527,0.014547715972037578,0.014716157534604167,0.01801047830526474,0.012850003761346136,0.02857142857142857,0.018488753546418168,0.07247591390195922
outcome_regression,gambfal,35.0,1.639631543777931,-0.05624217528689751,-0.03246208464860656,0.08720814018117622,0.12291120760946703,0.11088406685860727,0.02857142857142857,0.11272237587206008,0.4418717134184754
outcome_regression,iat,35.0,0.04844691589467774,-0.21133840044371285,-0.21129557398664622,0.21133840044371285,0.21134480399566202,0.0016692159573597205,0.0,0.003240215097506302,0.012701643182224703
outcome_regression,money,35.0,-0.028788677096684052,-0.009180494398056453,-0.005492489719881623,0.015350276436462385,0.018793000652734256,0.016637430218117106,0.02857142857142857,0.03832727285942693,0.15024290960895353
outcome_regression,quote,35.0,0.6488542899253901,-0.04641826700908813,-0.038201678250787574,0.05664309263032515,0.06991813261335335,0.05304996020966556,0.02857142857142857,0.08172827595312719,0.32037484173625863
outcome_regression,reciprocity,35.0,0.14340352972675482,0.009431878144322416,0.00858948485107841,0.009504749200961865,0.011959975619132044,0.007461320262115363,0.02857142857142857,0.017408409472979735,0.06824096513408057
outcome_regression,scales,35.0,0.18995999239563713,0.015282642514608228,0.014579374009824064,0.015425630348327043,0.017961726350466087,0.009575175922343476,0.02857142857142857,0.014390328061243093,0.056410086000072926
outcome_regression,sunk,35.0,0.6442587911532521,0.03799942471340328,0.06415885197604154,0.06334807021064102,0.07078730812228154,0.060595339304060324,0.02857142857142857,0.08544786187615606,0.33495561855453176
psm,allowedforbidden,35.0,-0.16325895410894217,0.0018491521967705768,-0.0013383930337851624,0.025917056465715564,0.03378202718110836,0.034223834952731444,0.02857142857142857,0.012552759923554415,0.04920681890033329
psm,anchoring1,35.0,1565.435315862005,9.76949775361058,16.420609980734525,109.38352591716529,134.54302392008336,136.14691210471665,0.02857142857142857,50.65285202023718,198.5591799193297
psm,anchoring2,35.0,2090.901582337456,61.95331582627095,61.970947462614276,134.72671177527408,177.56505212017473,168.83595446990535,0.02857142857142857,42.92022525846974,168.24728301320133
psm,anchoring3,35.0,2435.7606565360206,17.387406873299007,27.02110103427094,116.7073419875422,153.26627610081349,154.49995540844208,0.02857142857142857,40.509393971527736,158.7968243683886
psm,anchoring4,35.0,2542.3003422674033,47.371275534381816,64.97558286266622,105.85811969109224,123.82808392313405,116.0790148969549,0.02857142857142857,37.93075381670068,148.68855496146676
psm,contact,35.0,0.16267055804178915,-0.08341172721973576,-0.1103923727002111,0.19837037401972632,0.24634885851065524,0.2351819405087895,0.02857142857142857,0.06812005392354739,0.26703061138030576
psm,flag,35.0,0.010858657874233936,-0.017606063198058564,-0.018811694800768743,0.06722970972170644,0.08548377661897756,0.08487232472259917,0.02857142857142857,0.03541060858587193,0.138809585656618
psm,gainloss,35.0,0.3003781364618801,0.013613031137073564,0.011134321791679724,0.03878891368027773,0.05042084835767754,0.04925717524110343,0.02857142857142857,0.017165124498940757,0.06728728803584776
psm,gambfal,35.0,1.580179435860723,-0.11569428320410496,-0.051338880608259974,0.21772744296371563,0.28089743835605446,0.25970215574831007,0.02857142857142857,0.10518163972704687,0.4123120277300237
psm,money,35.0,0.001680372740068771,0.02128855543869637,0.02862272889817682,0.08137566545100457,0.1022890110271604,0.10150983311521558,0.02857142857142857,0.03464294448357655,0.13580034237562008
psm,quote,35.0,0.7380253193136915,0.042752762379213265,0.04142519402547862,0.16845501779418418,0.21487185125055078,0.21364993233210797,0.02857142857142857,0.07298901989609485,0.2861169579926918
psm,reciprocity,35.0,0.12542142301117493,-0.00855022857125749,-0.013147202399774294,0.04388138507720006,0.052896837909996594,0.05296333827140676,0.02857142857142857,0.01616313688339652,0.06335949658291436
psm,scales,35.0,0.2019891570072788,0.027311807126249914,0.034160853967866334,0.03609306092359992,0.04037734410081934,0.030172946971782195,0.02857142857142857,0.013476068760016537,0.05282618953926483
psm,sunk,35.0,0.7066667309807609,0.10040736454091209,0.06541983155513886,0.2295490988378949,0.2946612755549107,0.2810707989109965,0.02857142857142857,0.08328120826422657,0.3264623363957682
