method,ate,se,ci_lower,ci_upper,n_treated,n_control,ground_truth_ate,bias,abs_bias,relative_bias,covers_truth,study,pattern,beta,seed,dataset_path,ground_truth_se,n_obs,propensity_mean,propensity_std,propensity_min,propensity_max,n_used,r_squared,n_matched,match_rate,caliper_used,error
psm,2419.781509695291,39.541689729745464,2342.2797978249896,2497.283221565592,1451.0,1364.0,2494.929066733021,-75.14755703773017,75.14755703773017,-0.03012011765774646,True,anchoring4,age,0.5,42,confounded_datasets/anchoring4/age_beta0.5_seed42.csv,27.510776742010567,2815,,,,,,,1444.0,0.9951757408683667,0.023280145904347082,
naive,2491.9295065550587,39.13172321873862,2415.2313290463308,2568.6276840637865,1425.0,1377.0,2494.929066733021,-2.999560177962394,2.999560177962394,-0.00120226270877118,True,anchoring4,age,0.75,42,confounded_datasets/anchoring4/age_beta0.75_seed42.csv,27.510776742010567,2802,,,,,,,,,,
ipw,2443.6395111738057,43.79536654683373,2357.8005927420118,2529.4784296055996,,,2494.929066733021,-51.28955555921539,51.28955555921539,-0.02055752054962283,True,anchoring4,age,0.75,42,confounded_datasets/anchoring4/age_beta0.75_seed42.csv,27.510776742010567,2802,0.5085676103172003,0.1571359933276119,0.3038388819280113,0.9811301163641343,2802.0,,,,,
outcome_regression,2469.5926266665865,42.62716955381077,2386.043374341117,2553.141878992056,,,2494.929066733021,-25.336440066434534,25.336440066434534,-0.010155174511478708,True,anchoring4,age,0.75,42,confounded_datasets/anchoring4/age_beta0.75_seed42.csv,27.510776742010567,2802,,,,,2802.0,0.591810520432053,,,,
aipw,2442.8763740477852,43.41574697180713,2357.781509983043,2527.9712381125273,,,2494.929066733021,-52.0526926852358,52.0526926852358,-0.020863395829283465,True,anchoring4,age,0.75,42,confounded_datasets/anchoring4/age_beta0.75_seed42.csv,27.510776742010567,2802,0.5085676103172003,0.1571359933276119,,,2802.0,,,,,
psm,2505.6207865168544,39.54805766566038,2428.10659349216,2583.134979541549,1425.0,1377.0,2494.929066733021,10.691719783833378,10.691719783833378,0.004285380264471256,True,anchoring4,age,0.75,42,confounded_datasets/anchoring4/age_beta0.75_seed42.csv,27.510776742010567,2802,,,,,,,1424.0,0.9992982456140351,0.031427198665522384,
naive,2497.1123268945385,39.19948169883556,2420.2813427648207,2573.943311024256,1398.0,1394.0,2494.929066733021,2.18326016151741,2.18326016151741,0.0008750790515965549,True,anchoring4,age,1.0,42,confounded_datasets/anchoring4/age_beta1.0_seed42.csv,27.510776742010567,2792,,,,,,,,,,
ipw,2413.676139270125,48.33730751978852,2318.9350165313394,2508.4172620089107,,,2494.929066733021,-81.25292746289597,81.25292746289597,-0.03256722948412013,True,anchoring4,age,1.0,42,confounded_datasets/anchoring4/age_beta1.0_seed42.csv,27.510776742010567,2792,0.5007142054653951,0.189209578585248,0.23943807675380618,0.99,2792.0,,,,,
outcome_regression,2463.969098837581,36.6108185545515,2392.21189447066,2535.726303204502,,,2494.929066733021,-30.95996789544006,30.95996789544006,-0.012409157562134829,True,anchoring4,age,1.0,42,confounded_datasets/anchoring4/age_beta1.0_seed42.csv,27.510776742010567,2792,,,,,2792.0,0.5936824468542287,,,,
aipw,2417.235995213829,51.73602283781891,2315.833390451704,2518.638599975954,,,2494.929066733021,-77.69307151919202,77.69307151919202,-0.03114039294949857,True,anchoring4,age,1.0,42,confounded_datasets/anchoring4/age_beta1.0_seed42.csv,27.510776742010567,2792,0.5007142054653951,0.189209578585248,,,2792.0,,,,,
